R,G,B,Class
127,57,58,o
126,56,58,o
126,56,58,o
126,56,58,o
126,56,58,o
126,56,58,o
126,56,58,o
127,55,58,o
127,55,58,o
127,55,58,o
127,55,57,o
127,54,57,o
127,54,57,o
127,54,57,o
127,54,58,o
127,55,59,o
127,55,59,o
128,56,60,o
128,57,61,o
207,195,175,o
208,194,174,o
208,194,172,o
208,193,171,o
209,192,170,o
209,192,168,o
210,190,166,o
211,189,164,o
212,187,161,o
212,182,154,o
210,166,138,o
200,128,101,o
198,119,93,o
199,118,92,o
200,119,93,o
200,119,94,o
201,120,95,o
202,122,97,o
203,123,97,o
204,124,99,o
205,125,99,o
206,126,100,o
206,126,100,o
206,127,101,o
207,128,101,o
207,128,101,o
206,128,100,o
206,127,100,o
206,127,99,o
205,127,99,o
205,126,99,o
204,125,98,o
203,124,97,o
203,123,96,o
202,122,95,o
201,121,96,o
201,121,95,o
200,120,95,o
200,120,95,o
200,120,96,o
199,120,97,o
198,125,104,o
200,140,122,o
210,174,154,o
214,188,167,o
214,194,172,o
213,195,174,o
212,196,175,o
211,196,176,o
210,197,177,o
210,197,178,o
210,198,180,o
209,198,180,o
208,197,179,o
209,197,180,o
211,200,184,o
213,201,187,o
211,200,185,o
209,196,181,o
207,194,178,o
207,193,177,o
208,194,178,o
209,195,180,o
208,194,179,o
207,193,176,o
207,192,175,o
207,193,176,o
208,193,177,o
208,194,177,o
208,194,177,o
208,193,176,o
208,192,175,o
209,193,175,o
210,193,176,o
210,193,175,o
210,192,173,o
210,190,171,o
211,191,170,o
212,190,170,o
213,186,163,o
210,165,139,o
205,134,107,o
205,123,98,o
205,120,96,o
206,119,95,o
207,119,95,o
207,119,94,o
207,118,94,o
207,117,93,o
207,117,92,o
208,116,92,o
208,116,92,o
208,116,92,o
207,115,91,o
207,115,91,o
207,115,91,o
206,115,92,o
205,115,92,o
204,115,93,o
203,115,94,o
202,116,95,o
201,116,96,o
200,117,97,o
198,118,98,o
196,122,101,o
194,131,110,o
195,148,126,o
200,169,147,o
204,181,160,o
204,182,161,o
204,183,162,o
204,184,163,o
204,185,164,o
204,185,165,o
204,186,166,o
204,186,166,o
204,186,166,o
204,186,166,o
203,186,166,o
203,186,166,o
203,186,166,o
203,186,166,o
204,186,166,o
204,186,166,o
204,186,166,o
204,186,166,o
204,186,166,o
203,187,166,o
203,187,166,o
203,187,166,o
203,187,166,o
203,187,167,o
202,187,167,o
202,187,167,o
201,187,167,o
201,187,167,o
201,187,167,o
202,187,167,o
202,187,166,o
202,187,166,o
202,187,166,o
202,186,165,o
203,185,163,o
203,184,161,o
203,180,156,o
197,157,135,o
166,110,94,o
135,69,63,o
130,60,58,o
129,60,58,o
128,59,58,o
128,58,58,o
127,58,57,o
127,57,57,o
127,57,57,o
126,56,57,o
126,56,57,o
126,55,57,o
126,55,57,o
125,55,57,o
126,55,57,o
126,55,57,o
126,55,57,o
126,54,57,o
126,54,57,o
126,54,57,o
126,54,57,o
127,54,57,o
127,54,57,o
127,54,57,o
127,54,58,o
127,55,59,o
127,55,59,o
127,56,60,o
207,195,175,o
207,194,174,o
208,194,172,o
208,193,171,o
209,192,170,o
210,192,169,o
210,191,166,o
211,189,163,o
212,187,161,o
213,182,154,o
209,164,135,o
200,128,101,o
198,119,93,o
199,118,92,o
200,119,93,o
200,120,94,o
201,122,96,o
202,123,97,o
203,124,98,o
204,125,99,o
